rank,region_id,degree,betweenness,pagerank,clustering,strength,hub_score
119,141,2,9.318796011555308e-05,0.005637609265544686,0.0,0.6718896999999999,0.11082304750584493
120,42,1,0.0,0.007082152974504249,0.0,0.39650455,0.11045417000518469
121,116,1,0.0,0.007082152974504249,0.0,0.39650455,0.11045417000518469
122,63,1,0.0,0.007082152974504249,0.0,0.3487115,0.10919451452793756
123,137,1,0.0,0.007082152974504249,0.0,0.3487115,0.10919451452793756
124,105,1,0.0,0.007082152974504249,0.0,0.31393427,0.1082779099535699
125,31,1,0.0,0.007082152974504249,0.0,0.31393427,0.1082779099535699
126,52,2,0.0052185257664709725,0.004305694570354366,0.0,0.7254144,0.1027197283339188
127,59,2,0.013139502376292984,0.003303763485849349,0.0,0.70997539,0.100869877223598
128,126,2,0.0,0.004420067345487983,0.0,0.7465330299999999,0.09737726291152038
129,78,2,0.0012114434815021899,0.004073383985744237,0.0,0.71008611,0.09376789301314922
130,76,1,0.0,0.0038431594518136608,0.0,0.56457704,0.07422929885620765
131,53,1,0.0,0.002883233031694003,0.0,0.3887807,0.05754728347603164
132,145,1,0.0,0.0027079798111757586,0.0,0.35041255,0.05433632040351486
133,39,1,0.0,0.0025913085143284874,0.0,0.39627957,0.05408079694571326
134,68,1,0.0,0.002329859631528094,0.0,0.42538667,0.05156634586575195
135,113,1,0.0,0.002389986786518786,0.0,0.35218078,0.05039159210002968
136,147,1,0.0,0.002058408165346299,0.0,0.38929382,0.04720790631146933
137,132,1,0.0,0.002160104520723294,0.0,0.3117884,0.04644159362440932
138,121,1,0.0,0.0018833420723864294,0.0,0.4008645,0.045315502631882235
139,111,1,0.0,0.0019935061348559696,0.0,0.3080675,0.044252441645022
140,47,1,0.0,0.0018630302778076058,0.0,0.3634258,0.04407380489257998
141,135,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
142,123,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
143,136,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
144,108,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
145,34,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
146,128,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
147,62,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
148,49,0,0.0,0.0010623229461756377,0.0,0.0,0.013333890553280756
149,155,0,0.0,0.0,0.0,0.0,0.0
150,161,0,0.0,0.0,0.0,0.0,0.0
151,160,0,0.0,0.0,0.0,0.0,0.0
152,159,0,0.0,0.0,0.0,0.0,0.0
153,158,0,0.0,0.0,0.0,0.0,0.0
154,157,0,0.0,0.0,0.0,0.0,0.0
155,156,0,0.0,0.0,0.0,0.0,0.0
156,149,0,0.0,0.0,0.0,0.0,0.0
157,154,0,0.0,0.0,0.0,0.0,0.0
